"scientific_name","rank","species_name","species_name_fishbase","genus_name","genus_name_fishbase","family_name","10001","20001","20002","20003","30001","30002","40001","40002","50001","50002","50003","70001","70002","70003","70004","70005","70006","80001","80002","90004","90005","90006","90007","90008","90009"
"Benthocometes robustus","species","Benthocometes robustus","Benthocometes robustus","Benthocometes","Benthocometes","Ophidiidae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Blennius","genus",NA,NA,"Blennius","Blennius","Blenniidae",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"Blennius ocellaris","species","Blennius ocellaris","Blennius ocellaris","Blennius","Blennius","Blenniidae",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
"Boops boops","species","Boops boops","Boops boops","Boops","Boops","Sparidae",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Bothus","genus",NA,NA,"Bothus","Bothus","Bothidae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Bothus podas","species","Bothus podas","Bothus podas","Bothus","Bothus","Bothidae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Brama","genus",NA,NA,"Brama","Brama","Bramidae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Brama brama","species","Brama brama","Brama brama","Brama","Brama","Bramidae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Buenia","genus",NA,NA,"Buenia","Buenia","Gobiidae",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
"Buenia affinis","species","Buenia affinis","Buenia affinis","Buenia","Buenia","Gobiidae",0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0
"Buglossidium luteum","species","Buglossidium luteum","Buglossidium luteum","Buglossidium","Buglossidium","Soleidae",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Callionymus maculatus","species","Callionymus maculatus","Callionymus maculatus","Callionymus","Callionymus","Callionymidae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Capros aper","species","Capros aper","Capros aper","Capros","Capros","Caproidae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
