"predictor","estimate","std.error","statistic","p.value","AIC","sig","conf.low","conf.high"
"Circulation Cost-Distance to Red Sea",-0.308826136430045,0.0209057939139016,-14.7722749828069,2.21121210413764e-49,5111.71051220086,"***",-0.349801492501292,-0.267850780358798
"Mean Sea Surface Temperature (SST)",0.316303370324983,0.0250317669935813,12.636078404137,1.33550493596404e-36,5165.39381060221,"***",0.267241107017563,0.365365633632402
"Mean Sea Surface Salinity (SSS)",0.108042999969176,0.0219648649096705,4.91890118211509,8.70313898325815e-07,5295.91645078792,"***",0.0649918647462223,0.151094135192131
"Fishing Gravity",-0.0533037367596503,0.0227258414786851,-2.34551212590499,0.0190009605160281,5318.59653093103,"*",-0.097846386057873,-0.00876108746142759
"Human Gravity",0.0199236594414604,0.0239713911444138,0.831143229086365,0.405892721254388,5217.63191804448,"ns",-0.0270602672015907,0.0669075860845115
