"predictor","estimate","std.error","statistic","p.value","AIC","sig","conf.low","conf.high"
"Circulation Cost-Distance to Red Sea",-1.61876021648389,0.135660906932861,-11.9324000781229,8.0226549194793e-33,187.019300803356,"***",-1.8846555940723,-1.35286483889548
"Fishing Gravity",-0.224960834382831,0.474988461455811,-0.473613261453425,0.635775716930722,228.180717012367,"ns",-1.15593821883622,0.706016550070559
"Human Gravity",-0.181733316431449,0.341580909318385,-0.53203592903975,0.594701111306538,228.083323331924,"ns",-0.851231898695483,0.487765265832584
"Mean Sea Surface Salinity (SSS)",1.19409497610892,0.375802581388625,3.17745283094287,0.00148574855748339,218.80387596291,"**",0.45752191658722,1.93066803563063
"Mean Sea Surface Temperature (SST)",1.56415588506431,0.191432027848919,8.17081604703453,3.06310387734567e-16,200.529343191024,"***",1.18894911048043,1.93936265964819
