"lon","lat","avg_sst"
-9.875,29.875,19.3192345666104
-9.875,30.125,19.2935788045164
-9.875,30.375,19.1395351118077
-9.875,30.625,18.7704914020059
-9.875,30.875,18.362294663497
-9.875,31.125,18.0722946807986
-9.875,31.375,18.0510925126206
-9.875,31.625,18.3347809744663
-9.875,31.875,18.7521034615939
-9.875,32.125,19.4123766331073
-9.875,32.375,20.0766116022412
-9.875,32.625,20.5416662028578
-9.875,32.875,20.7945896732351
-9.875,33.125,20.873660671255
-9.875,33.375,20.8491525128891
-9.875,33.625,20.7927044623536
-9.875,33.875,20.7308465301013
-9.875,34.125,20.6511470971863
-9.875,34.375,20.5506279325225
-9.875,34.625,20.454890193835
-9.875,34.875,20.3713657139429
-9.875,35.125,20.2793438187062
-9.875,35.375,20.1771306991577
-9.875,35.625,20.079207170205
-9.875,35.875,19.9734149005244
-9.875,36.125,19.8395077543832
-9.875,36.375,19.6712564093168
-9.875,36.625,19.457567824692
-9.875,36.875,19.2081689678255
-9.875,37.125,18.991201791607
-9.875,37.375,18.8631143257266
-9.875,37.625,18.8031689847102
-9.875,37.875,18.7124859022964
-9.875,38.125,18.4842618619158
-9.875,38.375,18.1082236675617
-9.875,38.625,17.7152181687902
-9.875,38.875,17.4697263540466
-9.875,39.125,17.4106826860397
-9.875,39.375,17.5427318348911
-9.875,39.625,17.6883329355
-9.875,39.875,17.7278411531709
-9.875,40.125,17.657349286835
-9.875,40.375,17.5497264288814
-9.875,40.625,17.4347810328332
-9.875,40.875,17.3121034304301
-9.875,41.125,17.198715475739
-9.875,41.375,17.0941253177455
-9.875,41.625,16.9785515363099
-9.875,41.875,16.8154641005511
-9.875,42.125,16.6138794200668
-9.875,42.375,16.4147810675407
-9.875,42.625,16.2290979682422
-9.875,42.875,16.0952728745716
-9.875,43.125,16.0856826839551
-9.875,43.375,16.1514750412904
-9.875,43.625,16.209808344398
-9.875,43.875,16.2097810500306
-9.875,44.125,16.1919122237325
-9.875,44.375,16.1795078314067
-9.875,44.625,16.1469122125803
-9.875,44.875,16.0928138331637
-9.875,45.125,16.0353001818631
-9.875,45.375,15.9742073048659
-9.875,45.625,15.8805734108055
-9.875,45.875,15.7242346278957
-9.875,46.125,15.5394805376647
-9.875,46.375,15.3811198792171
-9.875,46.625,15.2656554159571
-9.875,46.875,15.183961422717
-9.625,30.125,19.2473766009013
-9.625,30.375,19.2172946643308
-9.625,31.875,18.0818848583868
-9.625,32.125,18.4764749860503
-9.625,32.375,19.2052727996326
-9.625,32.625,19.9072946590153
-9.625,32.875,20.4715842262643
-9.625,33.125,20.7951634777048
-9.625,33.375,20.8608737486959
-9.625,33.625,20.788797347272
-9.625,33.875,20.707567840326
-9.625,34.125,20.6360924256955
-9.625,34.375,20.5502727435586
-9.625,34.625,20.4572126461509
-9.625,34.875,20.3747536080783
-9.625,35.125,20.2980869324481
-9.625,35.375,20.2234148901017
-9.625,35.625,20.1428411046012
-9.625,35.875,20.0269121628641
-9.625,36.125,19.8598083016651
-9.625,36.375,19.6406006526426
-9.625,36.625,19.3443711650828
-9.625,36.875,18.9971853735668
-9.625,37.125,18.7221033690406
-9.625,37.375,18.6035515310986
-9.625,37.625,18.5719668200759
-9.625,37.875,18.4666389715476
-9.625,38.125,18.1819121459794
-9.625,38.375,17.7386881145623
-9.625,38.625,17.3082235862649
-9.625,38.875,17.0496444285242
-9.625,39.125,16.9174586332561
-9.625,39.375,17.1277865034635
-9.625,39.625,17.3387154464513
