"scientific_name","rank","species_name","species_name_fishbase","genus_name","genus_name_fishbase","family_name","10001","20001","20002","20003","30001","30002","40001","40002","50001","50002","50003","70001","70002","70003","70004","70005","70006","80001","80002","90004","90005","90006","90007","90008","90009"
"Belonidae","family",NA,NA,NA,NA,"Belonidae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2106,1300,0,0,0,1340
"Benthocometes robustus","species","Benthocometes robustus","Benthocometes robustus","Benthocometes","Benthocometes","Ophidiidae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8405,0,0,0,0,0,0,0,0
"Blennius","genus",NA,NA,"Blennius","Blennius","Blenniidae",0,0,0,0,0,0,0,0,0,0,0,0,0,818,0,0,0,0,0,0,0,0,0,108,0
"Blennius ocellaris","species","Blennius ocellaris","Blennius ocellaris","Blennius","Blennius","Blenniidae",0,0,0,0,0,0,0,0,0,0,0,0,0,125512,0,0,0,0,0,0,0,5162,0,3457,0
"Boops boops","species","Boops boops","Boops boops","Boops","Boops","Sparidae",4420,7833,120475,86195,11505,27780,29367,137695,12367,7773,26010,20494,76354,72180,102705,746208,959932,76471,15164,465891,894151,1028302,170770,551455,1025521
"Bothus","genus",NA,NA,"Bothus","Bothus","Bothidae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0
"Bothus podas","species","Bothus podas","Bothus podas","Bothus","Bothus","Bothidae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,634,0
"Brama","genus",NA,NA,"Brama","Brama","Bramidae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,929,0,0,0,0,0,0,0,0
"Brama brama","species","Brama brama","Brama brama","Brama","Brama","Bramidae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46221,0,0,0,0,0,0,0,0
"Buenia","genus",NA,NA,"Buenia","Buenia","Gobiidae",0,0,0,0,0,0,0,0,0,0,0,0,0,37874,1286,0,0,0,0,0,0,0,0,547,0
"Buenia affinis","species","Buenia affinis","Buenia affinis","Buenia","Buenia","Gobiidae",0,0,1281,0,0,0,0,21,73,0,0,0,0,1812250,38346,270,0,0,0,0,0,8020,0,191257,0
